OBJECTID,PHpH,ALK_MGL,COND_USCM,BOD_MGL,NO2_N_MGL,CUSOL1_MGL,CUSOL2_UGL,FESOL1_UGL,ZN_SOL_UGL
93137,7.9,82,239,7.3,0.01,0.001,1.61,228.28,5
93600,8.2,121,380,6.3,0.019,0.0057,1.79,211.18,5
93601,9,130,412,12,0.025,0.0011,1.84,93.23,5
93631,7.4,51,338,2,0.049,,4.08,81.28,5.25
93632,7.2,47,306,2,0.034,0.0017,4.24,70.23,4.19
93952,8,90,294,2.4,0.009,,2.64,241.88,5
93984,7.6,39,320,3.9,0.044,0.001,5.29,166.38,5
93985,7.5,41,292,3,0.035,0.003,5.51,107.84,5
94675,7.9,89,260,3.2,0.021,,2.11,200.92,5
94959,8,107,323,2,0.014,0.002,2.49,234.89,5
95393,7.9,119,548,2,0.008,0.0021,1.79,50,5
95394,7.8,73,445,2,0.042,,3.98,142.06,5
95585,8.1,153,484,2,0.014,0.0013,1.61,103.91,5
96019,7.9,162,523,2,0.037,0.0012,1.41,70.07,5
96020,7.9,122,488,2,0.04,0.0012,1.99,59.38,5
98169,7.8,144,492,2,0.007,,1.57,59.05,5
98208,7.3,70,681,3.7,0.101,0.0015,8.01,231.72,8.88
98362,7.6,91,545,2.1,0.122,,6.66,158.07,5
98363,8,129,593,2,0.061,0.0016,4.8,124.64,5
98555,7.3,93,840,3.8,0.402,0.0018,9.11,221.75,7.63
98746,8,183,551,2,0.005,0.0019,2.29,50,5
98747,8.2,131,537,2,0.02,,2.81,50,5
98939,7.4,78,595,2,0.122,0.0012,7.59,189.46,5.47
99725,8.1,252,677,2,0.01,0.0016,0.99,61.96,5
99756,8.1,182,656,2.3,0.023,,3.32,122.97,5
99757,8,217,677,2,0.021,0.0023,2.66,65.13,5
100135,7.5,102,359,2,0.019,,1.49,133.15,5
100166,7.4,41,385,3.1,0.031,,3.42,112.41,5
100167,7.7,83,403,2,0.053,0.0033,1.68,77.37,5
101290,8.6,78,206,2.1,0.005,,2.43,50,5
101322,8.1,102,258,2,0.007,,2.31,50,5
101504,7.8,139,495,3.2,0.045,0.0026,3.05,156.64,5
101530,7.8,89,402,2,0.08,,6.99,107.47,6.55
101668,7.8,200,612,6,0.038,0.003,1.68,50,5
101693,7.7,94,419,2.2,0.076,,3.61,86.91,5
101831,7.9,152,542,2.5,0.031,,2.05,50,5
101856,7.8,96,419,2,0.064,,3.24,75.03,5
101962,7.9,98,284,2.4,0.005,0.0021,1.4,50,5
101993,7.8,114,345,2,0.012,,1,50,5
101994,7.7,112,342,2,0.013,0.0024,0.78,50,5
102074,7.8,164,466,2.5,0.036,,1.19,50,5
102156,7.3,72,612,3.5,0.164,0.0017,12.05,173.28,8.2
102325,7.9,128,470,2,0.005,,1.63,50,5
102480,7.9,112,409,2,0.024,0.0018,1.9,50,5
102633,8.1,223,592,2.2,0.034,0.003,1.55,50,5
102659,7.9,153,510,2,0.029,,3.01,78.95,5
102689,7.7,138,474,2.7,0.02,0.0026,1.65,234.48,5.76
102715,7.6,116,498,2.3,0.073,,3.34,226.43,6.74
102758,8.1,144,404,2,0.012,,1.02,50,5
102790,8.3,154,404,2,0.019,0.002,14.67,50,10.11
105370,7.6,92,318,2,0.033,,2.2,143.26,5
105401,7.6,133,485,2,0.014,0.0022,1.45,114.07,5
105402,7.3,72,468,2,0.072,0.0029,2.86,52.17,5
106202,,,,,0.036,0.0021,,,
106492,7.7,46,190,2,0.005,,1.89,59.35,13.14
106524,7.6,35,231,2,0.01,0.0027,3.25,60.08,21.87
106810,7.6,23,119,2,0.005,,0.91,50,5
106842,7.3,10,67,2,0.005,0.0028,1.1,66.57,6.58
107121,7.7,16,109,2,0.005,,0.72,50,5
107153,7.4,18,168,2,0.011,0.0022,1.75,57.17,5
108659,7.7,17,105,2.1,0.005,,0.69,68.37,5
108691,6.9,10,107,2,0.005,0.0016,0.81,152.34,6.64
109488,7.5,57,208,2,0.021,,2.02,187.6,5
